sku,ten_hang,Z,pre_p,pg_hau,gia_tien_lam_tron,gia_chuan,du_bao_doi_muc,sai_lech_voi_chuan,bam_chuan
305210206779,VASELINE Son dưỡng môi mềm mịn 7g x Hủ,1,96000.0,96000.12,96000.0,94000.0,True,2000.1199999999953,False
305210231597,Vaseline Sáp dưỡng ẩm môi hồng 7g x Hủ,1,96000.0,96000.12,96000.0,94000.0,True,2000.1199999999953,False
3086123191143,BIC Dao Cạo Nữ 2 Lưỡi 3 Cây x Gói,1,44000.0,44000.28,44000.0,43000.0,True,1000.2799999999988,False
3086123242401,BIC Dao Cạo 2 Lưỡi 2 Cây x Gói,1,27000.0,27000.0,27000.0,27000.0,False,0.0,True
3154144680110,MAPED Kéo Văn Phòng 17cm x Cây,1,39000.0,38999.88,39000.0,38000.0,True,999.8799999999974,False
3175520018655,ROCHE MAZET rượu vang đỏ Merlot Rouge Pays doc 750ml x Chai,0,430000.0,429999.9,430000.0,422000.0,True,7999.900000000023,False
4005808829675,NIVEA XKM Extra Whitening 150ml x chai,1,129000.0,114000.21,129000.0,127000.0,True,12999.789999999994,False
4005808837472,NIVEA Lăn khử mùi sáng da extra whitening 50ml x chai,1,109000.0,96500.24,109000.0,107000.0,True,10499.759999999995,False
4061700151160,Bia Đức Sanwald Hefeweizen 500ml x Lon,0,60000.0,60000.05,60000.0,59000.0,True,1000.0500000000029,False
4067700014573,Jagermeister 350ml x Chai,0,559000.2,559000.2,559000.0,549000.0,True,10000.199999999953,False
40677798,Jagermeister 20ml x Chai,0,53000.0,53000.2,53000.0,52000.0,True,1000.1999999999971,False
4511413503997,DHC Son môi giúp dưỡng ẩm,1,175000.1,175000.1,175000.0,172000.0,True,3000.100000000006,False
4513574029590,Hatomugi SRM hạt ý dĩ 170g x chai,1,109000.0,109000.1,109000.0,107000.0,True,2000.1000000000058,False
4550516474568,Senka SRM Perfect Whip A 120g x tuýp,1,115000.0,114999.48,115000.0,113000.0,True,1999.479999999996,False
4550516474582,Senka SRM Collagen In A 120g x tuýp,1,135000.0,135000.0,135000.0,133000.0,True,2000.0,False
4550516706669,Senka nước tẩy trang ngừa mụn hoa cúc 230ml x chai,1,158000.0,157999.68,158000.0,155000.0,True,2999.679999999993,False
4800318407937,KDR SENSODYNE Multi care 100g x hộp,1,90000.0,89999.64,90000.0,88000.0,True,1999.6399999999994,False
4808888413709,Palmolive Dầu gội dưỡng ẩm 180ml x Chai,1,51000.0,39999.96,51000.0,50000.0,True,10000.04,False
4891228311094,Banana KCN Boat aqua sensitive 50ml x tuýp,1,183000.2,182999.52,183000.0,180000.0,True,2999.5199999999895,False
4891338003582,Darlie KĐR travel kit 50g x bộ,1,56000.0,56000.16,56000.0,55000.0,True,1000.1600000000035,False
4891338009737,Darlie KDR Tea Care Green Tea Mint 160g x tuýp,1,47000.0,47000.52,47000.0,46000.0,True,1000.5199999999968,False
4893776000772,KDR SENSODYNE Trắng Sáng 100g x Hộp,1,89000.0,88999.56,89000.0,87000.0,True,1999.5599999999977,False
4897024510570,TEMPO Khăn Ướt Mini Protect 8 Tờ x Gói,1,13000.0,12999.96,13000.0,13000.0,False,0.040000000000873115,True
4901004002457,ASAHI Super Dry bia chai 330ml x chai,0,34000.0,33999.9,34000.0,33000.0,True,999.9000000000015,False
4901004021076,ASAHI Super Dry bia lon 330ml x lon,0,34000.0,33999.9,34000.0,33000.0,True,999.9000000000015,False
4901301214614,BIORE tẩy trang 10 miếng x Gói,1,33000.0,33000.48,33000.0,32000.0,True,1000.4800000000032,False
4901301756305,BIORE DẦU TẨY TRANG 150ML X 1 CHAI,1,163000.0,163000.08,163000.0,160000.0,True,3000.079999999987,False
4901331011641,Dao cạo bikini 2 cái line x bộ,1,49000.0,48999.5,49000.0,48000.0,True,999.5,False
4901331017827,Kai dao cạo chân mày 3 cây x vỉ,1,49000.0,48999.5,49000.0,48000.0,True,999.5,False
4902430355193,DOWNY NXV Đam Mê 1.45L x Túi,1,131000.1,130999.68,131000.0,129000.0,True,1999.679999999993,False
4902430775793,PANTENE Dầu gội ngăn rụng tóc 150ml x Chai,1,48000.0,56000.16,48000.0,47000.0,True,9000.160000000003,False
4902430788205,GILLETTE Dao cạo râu Mach3 2up x hộp,1,183000.4,244000.08,183000.0,180000.0,True,64000.07999999999,False
4902430788571,GILLETE Lưỡi dao cạo Mach 3 3s x vỉ,1,199000.0,265999.68,199000.0,195000.0,True,70999.68,False
4902430837217,Pantene Kem xả ngăn rụng tóc 3MM 150ml x Chai,1,70000.0,70000.2,70000.0,69000.0,True,1000.1999999999971,False
4902430845212,ARIEL NG Cửa Trên Nước Hoa 3.65Kg x Túi,1,237000.0,236999.52,237000.0,233000.0,True,3999.5199999999895,False
4902430918114,DOWNY NXV Đam Mê 3L x Túi,1,241000.0,240999.84,241000.0,237000.0,True,3999.8399999999965,False
4983435201227,OKAMURA Tăm nhựa 120 cây x Bịch,1,35000.0,34999.68,35000.0,34000.0,True,999.6800000000003,False
4983435734503,Okamura Tăm chỉ kẻ răng DP-AFP 50 cây x Bịch,1,26000.0,25999.92,26000.0,26000.0,False,0.08000000000174623,True
4987176243812,Gillette Lưỡi Dao Cạo Mach 3 Clean x Vỉ,1,175000.0,175000.1,175000.0,172000.0,True,3000.100000000006,False
4987176257116,Gillette Dao cạo Mach 3 Clean x Bộ,1,183000.0,182999.52,183000.0,180000.0,True,2999.5199999999895,False
5000347026720,KDR Aquafresh Trẻ em 6T 50ml x Tuýp,1,49000.0,48999.6,49000.0,48000.0,True,999.5999999999985,False
5010106113127,Ballantines Finest rượu whisky 40 700ml x Chai,0,535000.0,535000.4,535000.0,525000.0,True,10000.400000000023,False
5011309895513,Eucryl KDR bạc hà tẩy trắng 50ml x hộp,1,66000.0,65999.88,66000.0,65000.0,True,999.8800000000047,False
5014218810974,Rượu Douglas Laing's Rock Island Whisky 50ml x Chai,0,150000.0,150000.4,150000.0,147000.0,True,3000.399999999994,False
51131968165,SCOTCH Keo Siêu Dính x Tuýp,1,31000.0,31000.32,31000.0,30000.0,True,1000.3199999999997,False
6901035605274,TSINGTAO Bia Lager 330ml x Lon,0,20000.2,23999.8,20000.0,20000.0,False,3999.7999999999993,False
6901035624893,TSINGTAO Bia 1903 lon 330ml x Lon,0,34000.0,33999.9,34000.0,33000.0,True,999.9000000000015,False
6915878224158,CORONA Bia Extra 300ml x Chai,0,33000.0,33000.0,33000.0,32000.0,True,1000.0,False
6920354814471,COLGATE KDR OPTIC WHITE PLUS SHINE 100G x Hộp,1,59000.0,58999.6,59000.0,58000.0,True,999.5999999999985,False
6920354827792,Colgate KDR tinh chất than tre 225g x hộp,1,62000.0,61999.56,62000.0,61000.0,True,999.5599999999977,False
6920354832239,Colgate KDR Bamboo Charcoal 90g x tuýp,1,27000.0,27000.0,27000.0,27000.0,False,0.0,True
6920354836930,Colgate KĐR optice white purple 100g x tuýp,1,66000.0,65999.88,66000.0,65000.0,True,999.8800000000047,False
6920354837180,Colgate KĐR Maxwhite 137g x tuýp,1,62000.0,61999.56,62000.0,61000.0,True,999.5599999999977,False
6935145301030,RIO Cocktail Đào 275ml x Chai,0,75000.0,75000.01666666666,75000.0,74000.0,True,1000.0166666666628,False
6935145301047,RIO Cocktail Rose 275ml x Chai,0,75000.0,75000.12142857144,75000.0,74000.0,True,1000.1214285714377,False
6935145341036,Rio Fresh vị Dâu  vodka 330ml x Lon,0,55000.0,55000.0,55000.0,54000.0,True,1000.0,False
71603000810,Trim Bấm móng loại nhỏ x cái,1,29000.0,29000.16,29000.0,28000.0,True,1000.1599999999999,False
