vai_tro,Z,n_sku_toan_nhom,n_du_bao_doi_muc,n_bam_chuan,ti_le_bam_chuan,ktc95_wilson_duoi,ktc95_wilson_tren,n_giu_nguyen_gia,buoc_lam_tron,nguong_bam_chuan_dong
nhóm được giảm thuế,1,155,135,1,0.007407407407407408,0.0013087545613434844,0.040765090741505236,110,1000,1.0
giả dược,0,132,92,1,0.010869565217391304,0.0019212795763616508,0.05902928886156091,71,1000,1.0
