mau,dac_ta,n,uoc_luong,se,p,tost_p,truot_cong2,tuong_duong_cong3
Z (so sánh chính),tho,204,-0.195191050350248,0.5391295651060531,0.7173157876104512,0.09017325719406677,False,False
Z (so sánh chính),hiep_bien,204,0.10140742094416688,0.6633881674185735,0.8785064150860794,0.10932539163563476,False,False
ĐC-A,tho,200,-0.3031099018945136,0.5460162154717951,0.578805844188768,0.13026394621818493,False,False
ĐC-A,hiep_bien,200,0.03731707631042991,0.6581044524161638,0.9547810826977743,0.09054829235723283,False,False
ĐC-C,tho,217,-0.38405229365948845,0.5363642339396218,0.4739735026999733,0.15999410329756292,False,False
ĐC-C,hiep_bien,217,-0.17470882593829684,0.6021381388981285,0.7717034613822915,0.10869132146438942,False,False
ĐC-8%,tho,1605,-0.5616251205957052,0.513245869044187,0.27384036868238326,0.24406159783991033,False,False
ĐC-8%,hiep_bien,1605,0.42053653980939487,0.6585185782473334,0.5230766835947253,0.225243475338464,False,False
